Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,European Archetype
Jamal Bey,5.695,25,5,1,5,0.2,0,3,0,3,4,0.75,0,1,1,3,2,1,0,3,-1,Yet to be defined
Gabe Madsen,5.6794,12.2,12.3,4.3,6.3,0.684,3,4.7,0.643,0.7,1,0.667,1,0,1,1,1.3,0.7,0,0.3,5,Yet to be defined
Jamison Battle,5.6497,18.6,8.7,3,7,0.429,2.3,6.3,0.368,0.3,0.7,0.5,0.3,1.3,1.7,0.7,1.3,0.3,0,1.7,1,Yet to be defined
Erik Stevenson,5.5978,21.2,8,2.7,5,0.533,2,3.7,0.545,0.7,0.7,1,1,3,4,1,2.3,0.3,0,3.3,-5,Yet to be defined
Mohamed Diawara,5.5879,22.1,6.3,2.7,6.3,0.421,0.3,2.7,0.125,0.7,2,0.333,1.3,3.3,4.7,1.3,1,1,0,1.3,-2,Yet to be defined
Matt Cross,5.5708,21,2,0.5,6,0.083,0.5,4,0.125,0.5,1,0.5,2.5,6.5,9,1.5,1,0,0.5,2.5,-4,Yet to be defined
Dink Pate,5.5696,14.7,6,1.7,6.3,0.263,1,3,0.333,1.7,1.7,1,1.3,3.7,5,3,0.7,0.3,0,1,3,Yet to be defined
Yanic Konan Niederhäuser,5.5129,24.1,4.3,2,4.7,0.429,0,0.7,0,0.3,0.7,0.5,1,4,5,0,1.7,2,1.7,3,-1,Yet to be defined
Adam Flagler,5.4791,18.4,7.7,2.7,8,0.333,1.3,4.3,0.308,1,1.3,0.75,1,0.7,1.7,2,1,0.7,0.3,1.3,0,Yet to be defined
Vladislav Goldin,5.4304,14.4,7,2.5,3,0.833,0,0,0,2,3.5,0.571,0.5,2.5,3,0.5,2.5,0,0,1.5,10,Yet to be defined
Daeqwon Plowden,5.4132,14.6,7,2,5,0.4,1.5,4,0.375,1.5,1.8,0.857,0,2.5,2.5,1.3,0.5,0.5,0.8,1,6,Yet to be defined
Pacôme Dadiet,5.3908,21.7,12,5.5,12,0.458,1,4,0.25,0,0.5,0,1,2.5,3.5,1,2,0,0.5,2,-16,Yet to be defined
Alondes Williams,5.3822,20.3,7.5,2.3,7,0.321,1.8,4.8,0.368,1.3,1.5,0.833,0.3,2.3,2.5,2.8,3,1.8,0.8,2.3,-10,Yet to be defined
Ariel Hukporti,5.3408,18.7,6.3,2.3,4,0.583,0,0,0,1.7,2.7,0.625,2.7,5,7.7,1.7,2.7,0.7,2,4,-10,Yet to be defined
Donovan Williams,5.3149,14.2,6,1,4.5,0.222,0,2,0,4,5.5,0.727,1,2.5,3.5,1,0.5,1.5,1.5,1.5,2,Yet to be defined
Skal Labissiere,5.3,16.7,7.5,2.5,5,0.5,0,1,0,2.5,2.5,1,0.8,1.3,2,1.3,1.3,0.3,1.5,4.3,1,Yet to be defined
Sion James,5.2914,17.8,5.5,2,5.5,0.364,0,2.5,0,1.5,2,0.75,1,2.5,3.5,3,1,0.5,0.5,2,1,Yet to be defined
Isaiah Crawford,5.2682,17.6,4.8,1.8,4,0.438,1,2.3,0.444,0.3,0.5,0.5,0.8,2,2.8,1,0.8,1.3,0.8,1.5,8,3&D Wing
PJ Hall,5.2613,11.2,7.7,3,5.3,0.563,0.7,1.7,0.4,1,1.3,0.75,1.3,2.7,4,1,1.7,0.3,1,4,3,Yet to be defined
Keion Brooks Jr.,5.1632,20.4,8.3,2.3,5.5,0.409,0.8,2.8,0.273,3,4,0.75,2,1.8,3.8,0.5,1,1,0,2,-9,Yet to be defined
Hason Ward,5.1292,14,6,3,4.3,0.692,0,0,0,0,0,0,1.3,2,3.3,2,1,1,1,2.7,9,Yet to be defined
Grant Nelson,5.0317,17.9,4.8,1.8,2.5,0.7,0.3,1,0.25,1,1.5,0.667,1.5,3,4.5,1,1.8,0.8,0.3,4,1,Yet to be defined
Chris Ledlum,5.0174,16.9,8,3,6.3,0.474,1.3,3.3,0.4,0.7,1.3,0.5,1.7,2.3,4,0.3,1.7,0,2,1,-5,Yet to be defined
Johnell Davis,4.9929,18,5,1.5,3.5,0.429,0.5,1,0.5,1.5,1.5,1,0,3,3,2,3,1,0,2.5,1,Yet to be defined
Markquis Nowell,4.9562,19.3,3,0.8,4.8,0.158,0.5,3.8,0.133,1,1.8,0.571,0.3,1.3,1.5,6,2.5,1,0.3,1.8,-1,Yet to be defined
Mark Armstrong,4.9397,13.4,10.7,4,8.3,0.48,1.7,4,0.417,1,1.7,0.6,0.3,0.7,1,1.7,1.7,1,0,0.7,-4,3&D Wing
Christian Shumate,4.9055,18.2,3.3,1.7,3.7,0.455,0,1.3,0,0,0,0,2,4.7,6.7,0.7,1.3,0.7,0.3,2,2,Yet to be defined
Kobe Sanders,4.9003,15.1,7.7,3,6.3,0.474,1,2.3,0.429,0.7,0.7,1,0.3,1,1.3,2,1.7,0.7,0,2.3,1,Yet to be defined
Rasheer Fleming,4.8148,15.4,7,3,6.5,0.462,1,3.5,0.286,0,0,0,2.5,2,4.5,0.5,1,1.5,0.5,1.5,-3,Yet to be defined
Lawson Lovering,4.8064,15,4,1.7,2.3,0.714,0,0,0,0.7,2.7,0.25,2.7,2.3,5,0.3,1.7,0,1,3.7,4,Yet to be defined
Kyle Mangas,4.7983,14.5,4.3,1.3,4,0.333,0.7,3.3,0.2,1,1.3,0.75,0.3,1.3,1.7,1.7,1,0.3,0,1,9,Yet to be defined
Mylik Wilson,4.7967,15.3,5.3,2.3,4.7,0.5,0.3,2,0.167,0.3,0.3,1,1,1.7,2.7,2,0.7,2.7,0,3,2,Yet to be defined
Amari Williams,4.7733,18.8,5.5,1.5,2.5,0.6,0,0,0,2.5,3,0.833,0.5,2.5,3,1.5,2,0.5,1,2.5,-1,Yet to be defined
Hunter Dickinson,4.7374,16.8,5,2,3.7,0.545,0,0.7,0,1,2.3,0.429,1,3,4,2,1.3,0.3,2,2.3,-1,Yet to be defined
Max Abmas,4.7222,21.3,7.3,3,7.8,0.387,1,4.3,0.235,0.3,0.5,0.5,0.5,1,1.5,1,1.3,1,0,2.3,-8,Yet to be defined
Zakai Zeigler,4.6585,17.8,7.5,2.5,6.5,0.385,1,2.5,0.4,1.5,1.5,1,0,1,1,1.5,2.5,1,0,3,-6,Yet to be defined
Andre Jackson Jr.,4.6567,21.2,5.5,1.5,3,0.5,1,1.5,0.667,1.5,1.5,1,0.5,3.3,3.8,3.5,2.5,0.8,0.3,3,-10,Yet to be defined
Stanley Umude,4.5895,15.2,8,3,6.5,0.462,1.8,3.5,0.5,0.3,0.8,0.333,0.3,1.5,1.8,0.5,0.5,1.8,0.3,2.8,-4,Yet to be defined
Chucky Hepburn,4.5798,14,3.7,1.3,5,0.267,1,4.3,0.231,0,0,0,0.7,0.7,1.3,4,2,1.3,0,5,1,Yet to be defined
Phlandrous Fleming Jr.,4.575,15.2,4.7,1.7,5,0.333,0.3,2,0.167,1,1.3,0.75,1.3,3.3,4.7,2,1.7,1,0,1.3,-2,Yet to be defined
Micah Peavy,4.5495,23.2,6.5,3,6.5,0.462,0.5,1.5,0.333,0,0,0,2,2.5,4.5,0,2.5,2.5,0,6.5,-17,Yet to be defined
Cameron Tyson,4.5286,12.9,6,2,6,0.333,2,5.7,0.353,0,0,0,0.3,2,2.3,1.7,0,0,0,1.7,2,Yet to be defined
Bogoljub Marković,4.5129,15.8,7,2.3,5.3,0.429,0.5,2.5,0.2,2,2.5,0.8,0.5,1.3,1.8,1.3,1.3,0.3,0.3,2,-3,Yet to be defined
Jesse Edwards,4.4892,13.5,5.8,2.3,3.3,0.692,0,0,0,1.3,2.5,0.5,0.8,1.8,2.5,0.3,0.8,0.5,0.8,3.5,4,Yet to be defined
Chaney Johnson,4.4888,16.2,3,1,5.3,0.188,0.3,1.7,0.2,0.7,0.7,1,1,2,3,0.3,1.3,1,0.3,2.7,3,Yet to be defined
Great Osobor,4.4605,12.8,4,1.7,3.7,0.455,0,0.3,0,0.7,2.7,0.25,1.7,3.3,5,1,1,0.7,0.3,2,3,Yet to be defined
Tyrese Samuel,4.445,11.4,8,3,4,0.75,0,0,0,2,2.5,0.8,2,1.5,3.5,0.5,1.5,2,0.5,1.5,-1,Yet to be defined
Cam Matthews,4.33,25.9,2.3,1,4,0.25,0,1,0,0.3,1.3,0.25,1.3,2.7,4,1.7,0.7,1,0.3,2.3,-7,Yet to be defined
Kendall Brown,4.3288,14.1,9.3,3.7,5.3,0.688,0.7,0.7,1,1.3,1.7,0.8,0,1,1,0.3,0.7,0.7,0,1.3,-1,Yet to be defined
Tyler Burton,4.3283,15,6.7,2.3,6.7,0.35,0.3,3.3,0.1,1.7,2,0.833,0.7,2.3,3,1,1,0.7,0.3,1,-6,Yet to be defined
Cam Carter,4.3033,7.2,5,2,4,0.5,1,3,0.333,0,0,0,0,3,3,2,1,0,0,1,10,Yet to be defined
Dmytro Skapintsev,4.2575,11.1,4,1,2.7,0.375,0.7,1.3,0.5,1.3,1.3,1,1.3,1,2.3,0.7,0.7,0.3,1.3,3.7,6,Yet to be defined
Jalen Crutcher,4.2483,18.3,5.5,1.8,5,0.35,1.5,4.5,0.333,0.5,1,0.5,0.3,1.5,1.8,2.5,2.3,0.5,0,0.3,-6,Yet to be defined
