Player,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,#ERROR!
Trey Jemison III,1,11.4,2,1,1,100,0,0,0,0,0,0,1,2,3,2,2,1,0,1,1
Wendell Moore Jr.,1,15.7,2,0,4,0,0,1,0,2,4,50,1,3,4,0,0,0,1,2,-2
Zack Austin,1,10.2,2,0,2,0,0,2,0,2,2,100,0,0,0,0,0,1,0,0,-9
Justin McKoy,2,5.5,1.5,0,1.5,0,0,1,0,1.5,2,75,0,0.5,0.5,0,0,0.5,0,0.5,3
Nate Hinton,2,11.5,1.5,0.5,5,10,0.5,2.5,20,0,0,0,1,2,3,0,0,0.5,0.5,3.5,-7
Chase Hunter,2,12.2,1,0.5,4.5,11.1,0,2,0,0,0,0,0.5,2,2.5,1,2.5,0.5,0,1.5,1
Ibrahima Diallo,2,9.4,1,0.5,1,50,0,0,0,0,1,0,0,2.5,2.5,1,1.5,0,1,1.5,12
Jeremy Jones,2,13.1,1,0.5,4,12.5,0,3,0,0,0,0,0.5,1,1.5,0.5,0.5,0.5,0,0,4
John Ukomadu,1,15.5,1,0,4,0,0,3,0,1,2,50,1,1,2,0,1,0,1,5,4
Julian Reese,1,7.7,1,0,1,0,0,0,0,1,2,50,1,1,2,1,2,0,0,2,-4
Moses Brown,1,2.7,1,0,0,0,0,0,0,1,2,50,1,2,3,0,0,0,0,1,2
Stefan Todorovic,1,6.7,1,0,2,0,0,0,0,1,2,50,0,1,1,0,1,0,0,0,-8
Yanic Konan Niederhäuser,1,26.4,1,0,4,0,0,1,0,1,2,50,2,8,10,0,2,2,4,4,-2
Alondes Williams,1,15.2,0,0,2,0,0,2,0,0,0,0,0,1,1,1,1,0,0,1,-1
Anton Watson,1,5.2,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,-3
Biwali Bayles,1,2.8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3
Buddy Boeheim,2,8.5,0,0,3.5,0,0,3.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0.5,-8
Cameron Brown,2,13,0,0,1,0,0,0.5,0,0,0,0,0,2,2,0.5,0,1,0.5,1.5,-13
Cameron Matthews,1,19.8,0,0,1,0,0,0,0,0,0,0,1,2,3,1,0,2,0,4,-7
Cesare Edwards,1,4.2,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,-4
Chris Manon,1,14.7,0,0,4,0,0,1,0,0,2,0,1,2,3,0,3,0,1,3,0
D.J. Rodman,1,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
Dane Goodwin,1,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9
Dillon Jones,1,8.7,0,0,2,0,0,2,0,0,0,0,0,1,1,0,1,0,0,2,-7
Dylan Cardwell,2,10.3,0,0,1,0,0,0,0,0,0,0,0.5,2,2.5,0,0.5,0,0.5,2,2
