Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,AST/G,TOV/G,REB/G,STL/G,BLK/G,FTA/G,3PM/G,PF/G,Euro Archetype Tag
Kobe Brown,7.6581,20.2,14,5,7,0.714,2,3,0.667,2,2,1,2,2,4,4,3,2,0,1,1,4,3,4,2,0,2,2,1,3&D Wing
Miles Kelly,8.2607,27.8,14,4.5,10,0.45,2.5,7,0.357,2.5,2.5,1,1,2,3,1,0.5,1.5,0.5,2.5,-2,0.5,0.25,1.5,0.75,0.25,1.25,1.25,1.25,
RayJ Dennis,9.2636,28.1,14,4.5,13,0.346,2,6,0.333,3,3.5,0.857,0.5,2.5,3,6.5,4.5,2,1,1,-4,3.25,2.25,1.5,1,0.5,1.75,1,0.5,3&D Wing
Sidy Cissoko,9.7899,24,14,5.5,10.5,0.524,1.5,4,0.375,1.5,1.5,1,0.5,4,4.5,2.5,3,2,0.5,4.5,12,1.25,1.5,2.25,1,0.25,0.75,0.75,2.25,
Trentyn Flowers,9.7641,24.1,14,5,8.5,0.588,1,3.5,0.286,3,4.5,0.667,1.5,3.5,5,1,4,1.5,0,4,12,0.5,2,2.5,0.75,0,2.25,0.5,2,
Tristan Enaruna,7.5137,20.8,14,5.7,8,0.708,1,2.3,0.429,1.7,3.3,0.5,1,1,2,2,0.7,1,0.3,0.7,8,0.6666666667,0.2333333333,0.6666666667,0.3333333333,0.1,1.1,0.3333333333,0.2333333333,
Dominick Barlow,7.19,22.1,13.5,6,10,0.6,0.5,2.5,0.2,1,1,1,4,3,7,1.5,1,1.5,0,2.5,-7,0.75,0.5,3.5,0.75,0,0.5,0.25,1.25,
Jonathan Mogbo,9.0356,22.9,13.5,6,8.5,0.706,0,0,0,1.5,2,0.75,2,3.5,5.5,1.5,2.5,2,0.5,1,16,0.75,1.25,2.75,1,0.25,1,0,0.5,
Asa Newell,10.5731,25.8,13,5,9,0.556,2.5,4,0.625,0.5,2,0.25,2,7.5,9.5,1,0.5,1,0.5,2.5,18,0.5,0.25,4.75,0.5,0.25,1,1.25,1.25,
James Bouknight,9.0536,21.9,13,3.5,5.5,0.636,1.5,3,0.5,4.5,4.5,1,0.5,5,5.5,4,2.5,1.5,1.5,0.5,10,2,1.25,2.75,0.75,0.75,2.25,0.75,0.25,
