Player,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,MSR,MSR %,AST/G,TOV/G,REB/G,STL/G,BLK/G,FTA/G,3PM/G,PF/G,Euro Archetype Tag
DJ Steward,2,24.3,11.5,4.5,14,0.321,2,3.5,0.571,0.5,0.5,1,2,3.5,5.5,4,2,1.5,0.5,1.5,10,93.192,9.3192,2,1,2.75,0.75,0.25,0.25,1,0.75,
DaRon Holmes II,2,24.9,11.5,4.5,7.5,0.6,2.5,5,0.5,0,0,0,1,4,5,0.5,1,0,0.5,2.5,-5,66.5,6.65,0.25,0.5,2.5,0,0.25,0,1.25,1.25,
Norchad Omier,2,20.9,11.5,5,9.5,0.526,0,0.5,0,1.5,2.5,0.6,4,4,8,1,3.5,1.5,0.5,5.5,-7,73.526,7.3526,0.5,1.75,4,0.75,0.25,1.25,0,2.75,
Riley Minix,2,25.2,11.5,4,8.5,0.471,3,6,0.5,0.5,0.5,1,1,4,5,1.5,1,0.5,0,3,14,91.171,9.1171,0.75,0.5,2.5,0.25,0,0.25,1.5,1.5,
Ryan Nembhard,2,31.8,11.5,4.5,12,0.375,0.5,3,0.167,2,2,1,0,2.5,2.5,6,4,1,0,4,5,93.842,9.3842,3,2,1.25,0.5,0,1,0.25,2,
Taelon Peter,2,25.3,11.5,5,7.5,0.667,1.5,4,0.375,0,0,0,0.5,2,2.5,1.5,1,1,0,1,4,69.342,6.9342,0.75,0.5,1.25,0.5,0,0,0.75,0.5,
Tristan Enaruna,2,18.3,11.5,4,6,0.667,1,2.5,0.4,2.5,5,0.5,0,1,1,2,0.5,0,0,1,11,68.867,6.8867,1,0.25,0.5,0,0,2.5,0.5,0.5,
Tyrell Harrison,2,23.7,11.5,4.5,7,0.643,0,0,0,2.5,5,0.5,3,3.5,6.5,1,1.5,1,1,1.5,6,80.343,8.0343,0.5,0.75,3.25,0.5,0.5,2.5,0,0.75,
AJ Johnson,1,20.7,11,4,9,0.444,0,3,0,3,4,0.75,0,3,3,1,1,1,0,0,-8,56.894,5.6894,1,1,3,1,0,4,0,0,
Bronny James,2,22.5,11,3.5,9.5,0.368,1,5.5,0.182,3,4,0.75,0.5,1,1.5,2.5,2.5,1,0.5,2.5,-3,70.3,7.03,1.25,1.25,0.75,0.5,0.25,2,0.5,1.25,
