Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus/Minus,Euro Archetype,European Archetype
Cormac Ryan,10.2463,21.7,11.7,3.3,9.7,0.345,2.0,6.0,33.3,3.0,3.7,0.818,0.0,0.3,0.3,2.0,2.0,1.3,0.3,2.7,-2,,TBD
Kam Jones,11.7553,25.5,11.7,4.3,8.3,0.52,1.3,3.7,36.4,1.7,2.0,0.833,1.3,2.7,4.0,3.3,3.7,2.0,0.3,3.0,1,,TBD
Miles Kelly,10.41,26.3,11.7,4.0,10.0,0.4,2.0,6.3,31.6,1.7,1.7,1.0,0.7,2.7,3.3,0.7,1.0,1.0,0.3,2.7,-5,,TBD
Brooks Barnhizer,11.6009,26.4,11.5,5.0,10.5,0.476,0.5,3.5,14.3,1.0,3.0,0.333,0.5,5.5,6.0,2.5,1.5,6.5,0.5,1.5,15,,TBD
DaRon Holmes II,11.6,24.9,11.5,4.5,7.5,0.6,2.5,5.0,50.0,0.0,0.0,0.0,1.0,4.0,5.0,0.5,1.0,0.0,0.5,2.5,-5,,TBD
Dalton Knecht,11.354,27.3,11.5,4.5,15.5,0.29,2.0,7.5,26.7,0.5,2.0,0.25,2.0,3.5,5.5,2.0,1.0,1.0,0.0,2.5,-2,,TBD
Tyrell Harrison,8.0343,23.7,11.5,4.5,7.0,0.643,0.0,0.0,0.0,2.5,5.0,0.5,3.0,3.5,6.5,1.0,1.5,1.0,1.0,1.5,6,,TBD
Johnny Furphy,9.1434,22.9,11.3,4.3,8.3,0.52,1.0,4.0,25.0,1.7,2.3,0.714,0.3,3.7,4.0,2.3,2.7,1.0,0.7,2.7,-8,,TBD
Ryan Nembhard,11.6239,29.5,11.3,4.3,10.7,0.406,1.0,3.0,33.3,1.7,2.0,0.833,0.0,2.7,2.7,6.7,3.7,0.7,0.0,3.7,-2,,TBD
Tyrese Proctor,12.1264,27.4,11.3,3.7,12.3,0.297,2.0,6.7,30.0,2.0,3.0,0.667,0.7,2.3,3.0,3.7,1.3,1.3,0.3,2.3,7,,TBD
Alex Toohey,8.4827,23.8,11.0,3.0,10.0,0.3,1.0,4.0,25.0,4.0,5.5,0.727,2.0,2.0,4.0,1.5,1.0,2.5,0.0,2.5,-19,,TBD
Hugo González,12.4636,27.6,11.0,3.5,12.0,0.292,2.0,6.0,33.3,2.0,4.5,0.444,2.5,3.0,5.5,4.0,4.5,0.5,1.0,5.0,-4,,TBD
Isaac Jones,12.1883,24.4,11.0,3.7,6.7,0.55,0.3,1.0,33.3,3.3,4.0,0.833,2.7,4.0,6.7,2.0,2.3,0.7,0.7,2.7,11,,TBD
Khaman Maluach,8.1764,22.4,11.0,4.0,11.0,0.364,0.5,4.0,12.5,2.5,5.0,0.5,1.5,3.5,5.0,0.5,2.5,1.0,1.0,3.0,-10,,TBD
Micah Peavy,10.8456,24.9,11.0,5.0,9.0,0.556,1.0,2.0,50.0,0.0,0.0,0.0,3.0,4.0,7.0,0.0,2.0,2.0,0.0,7.0,-20,,TBD
Norchad Omier,7.4533,19.6,11.0,4.7,9.0,0.519,0.0,0.7,0.0,1.7,2.3,0.714,4.0,4.0,8.0,0.7,3.0,1.3,0.3,5.0,-2,,TBD
Will Richard,8.6633,23.3,11.0,4.0,8.0,0.5,0.5,4.0,12.5,2.5,3.0,0.833,2.0,3.0,5.0,1.5,1.5,3.0,1.0,2.5,-3,,TBD
Zavier Simpson,13.0322,26.6,11.0,4.0,7.7,0.522,1.0,2.7,37.5,2.0,3.3,0.6,1.7,2.0,3.7,5.0,3.0,2.3,1.7,4.0,10,,TBD
Oso Ighodaro,7.6887,28.8,10.7,4.3,8.3,0.52,0.0,0.0,0.0,2.0,3.0,0.667,3.3,6.0,9.3,1.7,3.3,2.3,1.0,2.7,-11,,TBD
Bub Carrington,13.1389,30.4,10.5,3.0,8.0,0.375,2.0,4.5,44.4,2.5,3.5,0.714,0.5,4.0,4.5,4.0,2.5,1.5,0.0,2.5,2,,TBD
Jaden Shackelford,8.9094,22.1,10.5,2.5,8.5,0.294,1.5,7.0,21.4,4.0,5.0,0.8,0.0,2.0,2.0,1.5,0.5,0.0,0.0,2.5,-3,,TBD
Kon Knueppel,12.6833,27.9,10.5,3.0,9.0,0.333,1.5,5.0,30.0,3.0,5.0,0.6,1.0,4.5,5.5,4.0,2.0,1.0,0.5,1.5,11,,TBD
Tamar Bates,7.676,18.3,10.5,4.5,12.5,0.36,0.5,4.5,11.1,1.0,1.0,1.0,1.5,0.0,1.5,2.0,1.5,1.5,0.0,1.5,2,,TBD
Will Riley,11.3733,21.8,10.5,3.5,6.0,0.583,2.0,3.5,57.1,1.5,2.0,0.75,0.0,1.5,1.5,1.5,0.5,0.0,0.0,1.5,-2,,TBD
Javonte Cooke,10.2967,20.1,10.3,3.7,10.0,0.367,2.3,6.3,36.8,0.7,0.7,1.0,0.0,3.0,3.0,1.7,1.3,0.7,0.0,3.0,-2,,TBD
Kenneth Lofton Jr.,13.1086,17.9,10.3,3.0,7.0,0.429,0.3,0.7,50.0,4.0,4.7,0.857,2.7,2.7,5.3,2.3,2.3,0.3,0.3,3.0,13,,TBD
Taelon Peter,8.7665,25.7,10.3,4.3,7.7,0.565,1.0,4.3,23.1,0.7,0.7,1.0,0.3,1.7,2.0,2.0,1.7,1.0,0.3,1.3,-2,,TBD
