Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus/Minus,European Archetype
RJ Davis,6.7733,12.5,6.0,2.0,6.0,0.333,0.5,3.5,14.3,1.5,2.5,0.6,0.5,0.5,1.0,3.0,1.0,0.5,0.0,2.5,9.0,TBD
Matthew Cleveland,6.7213,14.7,4.3,1.7,5.3,0.313,0.3,1.3,25.0,0.7,0.7,1.0,2.3,1.7,4.0,0.7,1.3,0.0,0.7,1.7,-0.5,TBD
Isaiah Mobley,6.6381,23.1,3.5,0.5,7.5,0.067,0.0,3.5,0.0,2.5,3.5,0.714,1.0,4.5,5.5,2.5,4.0,0.0,0.5,4.0,-0.5,TBD
Cam Carter,6.55,7.2,5.0,2.0,4.0,0.5,1.0,3.0,33.3,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,-0.5,TBD
Zhuric Phelps,6.5486,13.5,4.5,2.0,7.0,0.286,0.5,3.0,16.7,0.0,1.5,0.0,0.5,1.0,1.5,2.0,0.5,0.5,1.0,1.0,8.5,TBD
Yanic Konan Niederhäuser,6.4629,24.1,4.3,2.0,4.7,0.429,0.0,0.7,0.0,0.3,0.7,0.5,1.0,4.0,5.0,0.0,1.7,2.0,1.7,3.0,8.5,TBD
Malik Williams,6.4456,9.0,4.3,1.7,3.0,0.556,0.3,1.3,25.0,0.7,1.7,0.4,0.7,1.7,2.3,0.7,0.3,0.3,0.3,1.7,8.5,TBD
Skal Labissiere,6.4117,16.7,7.0,2.5,6.0,0.417,0.0,1.0,0.0,2.0,2.0,1.0,1.5,2.0,3.5,2.0,1.5,0.0,1.5,4.5,9.0,TBD
Denver Jones,6.3922,14.2,6.0,2.0,9.0,0.222,0.0,5.0,0.0,2.0,4.0,0.5,2.0,2.0,4.0,0.0,1.0,1.0,0.0,2.0,9.0,TBD
Hunter Sallis,6.3443,27.1,5.0,1.5,8.5,0.176,0.0,2.5,0.0,2.0,3.0,0.667,0.0,3.0,3.0,2.5,1.0,1.5,1.0,1.5,-0.5,TBD
Nell Joseph,6.3263,17.3,6.0,3.0,5.3,0.563,0.0,0.3,0.0,0.0,0.7,0.0,2.7,3.7,6.3,2.3,0.7,1.0,1.7,2.7,9.0,TBD
Mark Armstrong,6.2944,7.5,5.0,2.0,4.5,0.444,0.5,2.0,25.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.0,0.5,9.0,TBD
Osayi Osifo,6.2533,19.0,7.7,3.7,5.0,0.733,0.0,0.0,0.0,0.3,0.3,1.0,1.0,3.7,4.7,1.0,0.0,0.3,1.3,4.3,8.5,TBD
Leopold Delaunay,6.24,16.9,6.0,3.0,6.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,2.0,0.0,0.0,2.0,9.0,TBD
Reece Beekman,6.22,19.9,5.5,1.5,5.0,0.3,0.0,0.5,0.0,2.5,2.5,1.0,0.0,1.5,1.5,8.0,2.0,1.5,0.0,0.5,8.5,TBD
Lawson Lovering,6.0183,16.6,6.0,2.5,3.0,0.833,0.0,0.0,0.0,1.0,4.0,0.25,2.5,2.5,5.0,0.5,1.5,0.0,0.5,4.5,9.0,TBD
Adem Bona,5.9567,19.1,7.0,3.5,7.5,0.467,0.0,0.5,0.0,0.0,0.0,0.0,3.5,2.0,5.5,1.0,3.0,1.5,2.5,3.0,-0.5,TBD
Cam Matthews,5.88,25.9,2.3,1.0,4.0,0.25,0.0,1.0,0.0,0.3,1.3,0.25,1.3,2.7,4.0,1.7,0.7,1.0,0.3,2.3,8.5,TBD
Amari Williams,5.7733,18.8,5.5,1.5,2.5,0.6,0.0,0.0,0.0,2.5,3.0,0.833,0.5,2.5,3.0,1.5,2.0,0.5,1.0,2.5,9.0,TBD
Kylor Kelley,5.6933,20.6,2.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.5,5.0,6.5,0.0,3.5,0.5,0.5,4.0,8.5,TBD
TJ Bamba,5.6777,15.9,2.5,0.5,6.5,0.077,0.5,3.5,14.3,1.0,2.0,0.5,1.5,1.0,2.5,1.0,0.5,1.0,0.0,2.5,-0.5,TBD
N'Faly Dante,5.5592,15.8,6.7,3.0,4.3,0.692,0.0,0.0,0.0,0.7,1.3,0.5,2.0,1.0,3.0,1.3,0.7,0.7,1.7,3.7,8.5,TBD
Chris Manon,5.4956,16.0,6.5,2.0,5.0,0.4,0.0,1.0,0.0,2.5,4.5,0.556,1.5,2.5,4.0,1.5,2.0,0.5,2.0,3.0,-0.5,TBD
Dawson Garcia,5.3267,13.6,4.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,2.0,0.0,1.0,6.0,9.0,TBD
Blake Hinson,5.3054,10.9,3.5,1.0,6.5,0.154,0.5,5.0,10.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,1.0,0.0,0.5,0.5,9.0,TBD
DJ Carton,5.2944,15.0,4.5,2.0,4.5,0.444,0.0,2.0,0.0,0.5,1.0,0.5,1.5,3.0,4.5,1.0,1.5,0.5,0.0,1.5,9.0,TBD
Darius Brown,5.29,16.0,4.5,1.0,2.5,0.4,0.0,1.0,0.0,2.5,2.5,1.0,0.0,2.5,2.5,3.5,1.5,1.0,0.0,1.5,9.0,TBD
Steven Ashworth,5.2833,6.9,2.7,0.7,2.0,0.333,0.3,1.7,20.0,1.0,1.0,1.0,0.0,0.3,0.3,1.3,2.7,0.3,0.0,1.3,9.0,TBD
Warith Alatishe,5.2367,17.7,4.5,2.0,3.0,0.667,0.0,0.0,0.0,0.5,1.0,0.5,2.5,2.0,4.5,1.0,0.5,0.5,2.5,0.5,8.5,TBD
Jesse Edwards,5.2357,14.5,7.5,3.0,3.5,0.857,0.0,0.0,0.0,1.5,3.0,0.5,0.5,1.5,2.0,0.5,0.5,0.5,0.5,3.0,9.0,TBD
Nate Hinton,5.16,11.5,1.5,0.5,5.0,0.1,0.5,2.5,20.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.5,0.5,3.5,-0.5,TBD
Ben Saraf,5.1544,19.3,5.0,1.5,5.0,0.3,0.0,1.5,0.0,2.0,4.5,0.444,0.5,1.0,1.5,4.0,3.0,0.5,0.0,2.0,-0.5,TBD
Sion James,5.1414,17.8,5.5,2.0,5.5,0.364,0.0,2.5,0.0,1.5,2.0,0.75,1.0,2.5,3.5,3.0,1.0,0.5,0.5,2.0,-0.5,TBD
Kobe Johnson,5.0844,13.9,5.0,2.0,4.5,0.444,0.0,1.0,0.0,1.0,2.0,0.5,1.5,2.0,3.5,0.0,2.5,1.5,0.0,1.0,8.5,TBD
